loop_ms,infer_ms
8.243,7.262
27.631,26.623
7.867,6.466
9.206,7.969
7.171,6.071
7.768,6.660
8.282,7.327
8.058,7.100
8.319,7.301
8.568,7.103
8.108,6.551
28.421,27.440
9.413,8.381
8.223,7.013
8.000,6.806
7.890,6.859
8.391,7.370
8.584,7.570
7.349,6.349
7.950,6.827
6.760,5.749
27.620,26.586
8.334,6.886
10.382,8.543
7.155,5.751
8.834,7.811
12.768,10.180
12.050,9.667
10.868,8.702
10.428,8.609
9.200,7.739
27.599,26.625
6.728,5.692
8.012,6.520
8.503,7.137
7.545,6.043
7.667,6.661
7.673,6.745
8.000,6.921
7.214,6.149
8.384,6.050
27.182,25.917
7.717,6.625
8.104,7.046
7.566,6.274
8.981,7.687
8.184,6.883
7.148,6.191
7.269,6.330
7.501,6.420
7.431,6.410
27.429,26.352
7.720,6.590
11.545,9.575
9.869,8.527
9.342,7.989
8.929,7.971
9.587,8.473
9.376,8.278
9.931,8.348
10.318,9.125
34.672,33.489
10.245,8.712
9.409,8.272
10.178,9.142
7.892,6.532
7.933,6.149
7.483,6.497
7.685,6.708
7.245,6.191
8.979,7.839
27.564,26.528
7.941,6.882
8.276,7.102
7.223,6.217
8.444,6.601
7.920,6.279
8.240,7.290
7.889,6.891
7.733,6.650
8.793,7.288
28.797,27.278
7.814,6.478
10.406,9.229
7.075,6.076
7.323,6.362
9.463,7.441
8.740,7.700
9.269,7.609
7.493,6.328
9.598,7.592
30.448,29.477
7.865,6.335
8.471,6.990
10.067,7.497
7.953,6.603
8.155,7.084
10.037,8.229
8.439,7.286
8.561,7.062
7.826,6.669
28.611,27.685
7.273,6.241
7.333,6.399
8.326,7.236
7.440,6.105
7.871,6.938
7.692,6.771
7.647,6.703
7.397,6.462
7.492,6.246
27.168,26.124
7.363,6.029
10.560,9.110
9.575,8.008
10.855,9.917
10.079,9.123
10.401,9.151
11.151,9.425
9.751,8.534
10.596,9.494
34.785,33.724
10.627,9.301
9.500,8.404
9.928,8.916
8.398,6.468
7.224,6.254
8.399,7.374
10.586,9.295
9.006,7.179
11.254,10.177
28.532,27.340
8.980,7.522
10.076,8.637
7.326,5.916
9.029,7.159
8.802,7.549
8.337,7.379
9.020,7.561
11.019,9.671
8.895,7.473
28.574,27.368
8.139,6.818
8.496,6.867
8.830,7.285
8.740,6.473
7.781,6.442
10.743,9.080
7.908,6.833
9.512,8.327
9.055,7.015
30.718,29.676
8.954,7.101
10.643,9.182
7.685,6.330
9.349,8.017
7.653,6.651
7.679,6.755
9.114,7.509
9.987,7.914
8.409,7.176
29.046,28.127
7.538,6.417
8.310,7.131
7.256,6.188
7.923,6.816
7.829,6.659
7.601,6.617
7.829,6.915
7.442,6.454
8.586,6.899
27.469,26.116
7.516,6.267
11.146,10.108
10.248,9.289
11.130,9.451
11.518,9.473
11.788,9.731
9.678,8.382
10.931,9.924
10.540,8.734
35.450,34.431
10.594,8.994
9.256,8.161
10.041,9.050
9.915,8.992
7.655,6.448
8.039,7.143
7.590,6.684
7.707,6.660
7.097,6.011
28.537,27.386
7.261,5.982
7.371,6.461
7.973,6.981
8.332,7.202
7.156,6.184
7.589,6.704
11.592,9.895
9.290,8.196
10.057,8.957
34.199,33.032
9.339,8.297
10.154,9.252
10.608,9.667
10.101,8.651
10.613,9.714
9.514,8.338
12.514,10.974
9.859,8.681
9.785,8.304
29.697,28.394
9.283,7.322
8.398,7.071
7.406,6.362
8.142,6.704
8.657,6.619
7.507,6.192
7.673,6.575
7.532,6.602
7.239,6.051
30.685,29.750
10.434,8.997
9.794,8.165
10.386,9.059
9.430,8.486
8.360,7.416
9.256,8.247
8.609,7.525
14.398,13.472
10.215,9.237
35.220,34.326
11.578,10.334
10.114,8.769
7.079,5.890
6.993,5.935
9.168,7.900
7.467,6.415
7.248,6.357
6.980,6.083
7.249,6.316
24.953,24.110
7.146,6.101
6.883,5.968
7.330,6.353
6.636,5.524
7.038,6.116
9.825,8.545
7.781,6.478
7.790,6.417
7.183,6.235
24.733,23.843
6.792,5.907
7.474,6.326
6.841,5.638
7.092,6.250
6.778,5.907
7.437,6.460
7.198,6.291
7.141,6.262
7.177,6.181
24.806,23.783
7.004,5.847
7.171,5.683
8.010,6.242
8.179,6.761
9.003,7.593
7.492,6.090
7.777,6.575
7.503,6.267
6.956,6.133
27.745,26.802
6.916,5.757
8.057,7.171
8.943,8.035
7.490,6.470
8.120,7.205
6.804,5.888
7.510,6.130
7.636,6.113
7.521,6.360
24.908,24.008
6.315,5.156
8.013,5.974
6.999,5.682
6.975,6.052
7.367,6.287
6.848,5.921
7.484,6.602
9.858,8.151
12.844,11.209
28.258,26.916
8.558,7.240
9.735,8.012
7.285,6.155
7.274,6.329
7.318,6.411
7.014,6.058
7.479,6.498
6.964,6.012
7.287,5.795
25.225,24.241
6.469,5.447
7.635,5.740
8.249,6.329
8.427,6.820
8.118,6.843
7.385,6.308
6.898,6.003
7.501,6.594
7.528,6.579
25.060,24.117
6.435,5.601
7.018,6.164
7.934,6.828
6.993,5.895
7.456,6.410
8.239,7.086
7.134,6.166
7.004,6.126
7.018,5.924
30.439,29.435
6.939,5.652
7.085,5.834
7.012,6.105
6.708,5.809
7.101,6.145
7.474,6.480
7.095,6.207
7.479,6.578
7.242,5.943
24.231,23.348
6.645,5.761
7.531,6.200
8.216,7.151
7.278,6.377
7.286,6.306
7.336,6.352
7.846,6.575
7.037,6.185
7.195,6.299
24.855,23.919
6.727,5.707
6.458,5.369
6.561,5.534
7.390,5.953
7.140,6.285
7.292,6.176
8.085,6.702
8.886,7.937
9.038,8.123
30.541,29.634
9.295,7.800
10.000,9.077
9.446,8.439
8.737,7.645
10.580,8.214
8.929,7.757
9.622,8.524
8.832,7.804
9.076,8.205
30.087,29.151
9.077,7.871
9.462,8.552
9.187,8.198
8.458,7.429
9.229,8.238
8.527,7.630
11.464,10.049
9.094,8.109
10.142,9.050
29.011,28.087
8.726,7.412
9.618,8.412
8.964,7.655
8.382,7.468
8.803,7.907
9.533,8.248
8.891,7.974
8.234,7.345
8.583,7.663
29.993,29.116
8.575,7.685
9.459,8.227
8.593,7.515
8.548,7.646
8.394,7.502
8.797,7.796
8.879,7.708
8.366,7.478
8.602,7.547
27.539,26.596
8.593,7.407
8.787,7.674
9.097,8.199
9.577,7.929
9.963,8.456
10.738,9.721
9.273,7.730
